name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
VINA CONDE DEL MAULE S.A.,CHILE,world,FORP,I,1996,33134
"RENATO VANUZZO, INC.",ITALY,world,FORP,I,1997,33186
"BARRACUDA, INC.",LIECHTENSTEIN,world,DOMP,I,1999,33131
"SAVISA, S.A.",ECUADOR,world,AGENT,A,1999,33161
KISHCO TRADING COMPANY N.V.,NETHERLANDS ANTILLES,world,FORP,I,2000,33166
"EL CAYO INVESTMENTS, INC.",BRITISH VIRGIN ISLANDS,world,AGENT,A,2000,33131
"STICKER INTERNATIONAL, INC.",BRITISH VIRGIN ISLANDS,world,AGENT,A,2000,33131
"XWINE, INC.",GERMANY,world,FORP,I,2001,33131
BERSI HOLDING CO. LTD.,BRITISH VIRGIN ISLANDS,world,AGENT,A,2001,33131
FREEWAY PROPERTIES LLC,KAZAKHSTAN,world,FLAL,I,2001,33139
"PETCARE, LLC",HONG KONG,world,FLAL,I,2001,33181
"BRICKELL PROPERTIES, INC.",MEXICO,world,DOMP,I,2001,33134
"SAVINO DEL BENE U.S.A., INC.",JAMAICA,world,FORP,A,2003,33172
"SHIPWRECK SHOPS, LLC",NETHERLANDS ANTILLES,world,FLAL,I,2005,33131
"GLOBAL PROTECTION HOLDINGS, INC.",URUGUAY,world,FORP,I,2005,33131
"ATLANTIC REALTY GROUP, LLC",IRELAND,world,FLAL,I,2005,33146
CREDIT SUISSE AG,SWITZERLAND,world,FORP,A,2005,33134
FOREX GROUP INC,REUNION,world,DOMP,I,2007,33138
"BANCO DE AMERICA CENTRAL, S.A.",NICARAGUA,world,AGENT,A,2007,33131
